show_id,type,title,director,cast,country,date_added,release_year,rating,duration,genres,language,description,popularity,vote_count,vote_average
71347,TV Show,My Sassy Girl,Oh Jin-seok,"Joo Won, Oh Yeon-seo, Lee Jung-shin, Kim Yoon-hye, Kwak Hee-Sung",South Korea,2017-05-29,2017,6.0,1 Seasons,"Comedy, Drama",ko,"Set in the Joseon Dynasty period, a romance takes place between cold-hearted Gyun-Woo and Princess Hyemyung who causes troubles.",128.702,27,6.0
74769,TV Show,The Legend of Dragon Pearl,Zhou Yuan Zhou,"Qin Junjie, Yang Zi, Shu Chang, Siqin Gaowa, Lu Xingyu",China,2017-05-06,2017,8.2,1 Seasons,Drama,zh,"The story of the ill-fated romance between Zhu Yi Huan, the last princess of the Ming Dynasty and Kangxi, the young emperor of the Qing Dynasty.",99.194,5,8.2
73066,TV Show,La Luna Sangre,"Jerry Lopez Sineneng, Rory B. Quintos, Cathy Garcia-Sampana, Frasco Mortiz, Mae Cruz-Alviar, Richard Arellano","Kathryn Bernardo, Daniel Padilla, Richard Gutierrez, Angel Locsin",Philippines,2017-06-19,2017,5.4,1 Seasons,"Drama, Action & Adventure",tl,"La Luna Sangre is the third installment to Lobo, and Imortal, two series that revolve around the tales of wolves, vampires and humans. From Lyka and Noah’s love that defied fate to Lia and Mateo’s love that conquered the long-standing feud between their clans comes the continuation of Philippine TV’s most powerful love story. Malia, Mateo and Lia’s daughter, finds her place in the world of mortals, while training for the time when she must fight against the cursed vampire, Supremo. But while preparing for her destined battle, she meets Tristan, a man whose past experiences will turn him into someone that will love but also destroy Malia. Witness this action-packed, fantasy-drama starred by the country’s premiere love team and a powerhouse cast!",140.834,4,5.4
77532,TV Show,Woman,"Nadim Güç, Merve Girgin","Özge Özpirinçci, Caner Cindoruk, Bennu Yıldırımlar, Seray Kaya, Ece Özdikici","Turkey, United States of America, Mexico",2017-10-24,2017,7.6,1 Seasons,Drama,tr,"The story of mother Bahar, who carries the weight and love of two children in their hearts with enthusiasm in their hearts. Bahar, abandoned by her mother when she was eight years old, later lost her grandma and her father. When she thinks she is all alone, she meets Sarp, whom she delicately loves.",102.326,435,7.6
72922,TV Show,The Eternal Love,Li Yang,"Xing Zhaolin, Liang Jie, Wang Ruichang, Sun Yining, Zhong Qi",China,2017-07-10,2017,6.2,1 Seasons,Comedy,zh,"Mo Liancheng, the 8th prince of Dongyue, is forced to marry Qu Taner, who loves his elder brother, Mo Yihuai. After a failed suicide attempt, Qu Taner wakes up with another soul inside her, causing her personality to shift. As Mo Liancheng grows suspicious, he falls for Xiao Tan, the modern soul, while she tries to return to her world.",97.401,12,6.2
87730,TV Show,As Flowers Fade and Fly Across the Sky,Lai Shui-Ching,"Peter Ho, Zhang Xinyu, Zhu Yilong, Li Xinai, Jim Yu",China,2017-12-04,2017,10.0,1 Seasons,"Sci-Fi & Fantasy, Drama",zh,"Hua Mantian, the son of a wealthy and powerful family, finds himself in an unwanted love triangle between a princess and his childhood lover, whom he truly loves. When his childhood lover is accused of treason, she uses magic to switch faces with the princess but their problems get deeper when the magic wears off quickly.",91.521,1,10.0
73920,TV Show,Dans les médias,Raphaël Malo,"Marie-Louise Arsenault, Arnaud Granata, Vanessa Destiné, Philippe Léger, Monic Néron",Canada,2017-09-14,2017,0.0,1 Seasons,"Talk, News",fr,"Joined by contributors, and with a different guest each week, Marie-Louise Arsenault hosts this magazine that highlights the week’s top stories, casting a critical eye on the national and international media and the images that surround us in journalism, advertising and social networks.",113.819,0,0.0
72048,TV Show,Kalabsh,Peter Mimi,"Amir Karara, Hala Fakher, Hesham Selim, Ahmed Abdelaziz, Yosra El Lozy",Egypt,2017-05-27,2017,5.7,1 Seasons,Drama,ar,"Selim al-Ansary is a morally-conscious police officer who is talented at his job. He is constantly criticized by those around him, even his mother, and is perceived as an evil person. When a murder inside the police station unjustly points to him as a suspect, he gets arrested, but he decides to escape to prove his innocence.",90.089,6,5.7
71673,TV Show,Princess Agents,"Ng Gam-Yuen, Chen Wenyong, Li Cai","Zhao Liying, Lin Gengxin, Shawn Dou, Li Qin, Maggie Huang",China,2017-06-05,2017,7.5,1 Seasons,Drama,zh,"During the Warring Period, slave girl Chu Qiao survives a deadly hunting game and is drawn into the ruthless power struggles of the Yuwen family. Trained by Yuwen Yue and bonded with Prince Yan Xun, she faces betrayal and war. As Yan Xun becomes consumed by revenge, Chu Qiao forges her own path, rising as a military strategist and fighting to end slavery.",85.372,216,7.5
75703,TV Show,Ikaw Lang Ang Iibigin,"Onat Diaz, Jerome Pobocan, Darnel Joy Villaflor, Dan Villegas","Kim Chiu, Gerald Anderson, Jake Cuenca, Coleen Garcia-Crawford, Michael De Mesa",Philippines,2017-05-01,2017,0.0,1 Seasons,Drama,tl,"Gabriel Viloria (Gerald Anderson) and Bianca Agbayani (Kim Chiu) develop a special bond at a young age in Zambales. They part ways as Bianca's father needs medical attention that cannot be provided in Zambales. Growing up, they lead separate lives without any communication. Gabriel juggles work and studies while Bianca became a promising young athlete. Bianca is scouted by TigerShark Energy Drinks President, Carlos Dela Vega to be their new endorser. Carlos falls in love with Bianca. A chance encounter at a triathlon organized by TigerShark in Zamboanga reunites Gabriel and Bianca. As they reconnect, they fall in love. Unknown to them, the love they share is threatened by the secrets of the past that if brought to light would destroy their love and their lives. With Carlos falling in love with Bianca, the return of Gabriel’s father Rigor and Gabriel becoming a triathlete, the playing ground becomes dangerous. But Gabriel will fight to the finish, running faster, riding the waves to reach his goals.",97.032,0,0.0
